parent,child,lambda_val,child_size
300000,300001,0.10568503516122833,60
300000,300002,0.10568503516122833,299940
300001,243355,230.13478152113032,1
300002,53634,0.11763807256187611,1
300002,42876,0.11763807256187611,1
300002,46062,0.11763807256187611,1
300002,42882,0.11763807256187611,1
300002,43714,0.11763807256187611,1
300002,44510,0.11763807256187611,1
300002,46275,0.11763807256187611,1
300002,276519,0.11763807256187611,1
300002,93142,0.11763807256187611,1
300002,40092,0.11763807256187611,1
300002,43826,0.11763807256187611,1
300002,93141,0.11763807256187611,1
300002,44505,0.11763807256187611,1
300002,28876,0.11763807256187611,1
300002,173838,0.11763807256187611,1
300002,45615,0.11763807256187611,1
300002,52369,0.11763807256187611,1
300002,46254,0.11763807256187611,1
300002,52740,0.11763807256187611,1
300002,46061,0.11763807256187611,1
300001,203269,352.95550388549947,1
300002,300003,0.1488929331439455,49
300002,300004,0.1488929331439455,299871
300001,189267,419.5213517968143,1
300003,205720,55.418798515289346,1
300004,300005,0.16072349828815058,58
300004,300006,0.16072349828815058,299813
300001,243344,659.3107726843172,1
300003,32614,71.63010209376463,1
300005,59454,77.03555831220537,1
300006,300007,0.19339691710934478,39
300006,300008,0.19339691710934478,299774
300001,291228,701.2566858347691,1
300003,249651,133.58408451347074,1
300005,51914,90.55565815359806,1
300007,181198,12.974903162470211,1
300008,81025,0.20367801097159252,1
300008,143996,0.20367801097159252,1
300008,47387,0.20367801097159252,1
300008,272468,0.20367801097159252,1
300008,275640,0.20367801097159252,1
300008,25746,0.20367801097159252,1
300008,43051,0.20367801097159252,1
300008,272469,0.20367801097159252,1
300008,108472,0.20367801097159252,1
300008,101319,0.20367801097159252,1
300008,255154,0.20367801097159252,1
300008,172315,0.20367801097159252,1
300008,25747,0.20367801097159252,1
300008,125370,0.20367801097159252,1
300008,47692,0.20367801097159252,1
300008,242394,0.20367801097159252,1
300008,36939,0.20367801097159252,1
300008,26264,0.20367801097159252,1
300001,212606,809.7977791231142,1
300003,75500,217.79715436220593,1
300005,54381,119.40446038329611,1
300007,139837,23.54130880798157,1
300008,244682,0.2128370734876119,1
300008,206149,0.2128370734876119,1
300008,282512,0.2128370734876119,1
300008,175264,0.2128370734876119,1
300008,136840,0.2128370734876119,1
300008,115242,0.2128370734876119,1
300008,84355,0.2128370734876119,1
300008,189888,0.2128370734876119,1
300008,67305,0.2128370734876119,1
300008,244675,0.2128370734876119,1
300008,96023,0.2128370734876119,1
300008,162579,0.2128370734876119,1
300008,174370,0.2128370734876119,1
300008,96006,0.2128370734876119,1
300008,87892,0.2128370734876119,1
300008,260303,0.2128370734876119,1
300001,238583,1189.0852175767081,1
300003,160835,219.3598031368893,1
300005,70154,136.21157576360503,1
300007,287401,24.998296573273223,1
300008,300009,0.23103989551450987,34
300008,300010,0.23103989551450987,299706
300001,189252,1359.4391960071812,1
300003,277395,240.99471708734305,1
300005,181009,141.5869397162746,1
300007,86868,45.75501546937952,1
300009,155183,12.087366554219091,1
300010,300011,0.23947002830180933,40
300010,300012,0.23947002830180933,299666
300001,240232,1708.747726260595,1
300003,205721,259.3204863173512,1
300005,59409,146.07094862306377,1
300007,139853,46.278317350574284,1
300009,155177,14.657452983846328,1
300011,182507,35.76636104573049,1
300012,300013,0.25317800999160617,90
300012,300014,0.25317800999160617,299576
300001,243629,1911.7984129497106,1
300003,286981,313.39140104074096,1
300005,50929,186.93514871194742,1
300007,262935,50.39405862057658,1
300009,63586,15.26499424640638,1
300011,130142,66.21279918039188,1
300013,245964,28.31710044428017,1
300014,300015,0.2718912584914505,37
300014,300016,0.2718912584914505,299539
300001,249633,2643.180048670854,1
300003,249648,342.3985358447966,1
300005,44211,204.0862233640753,1
300007,58143,51.45796267614711,1
300009,176693,29.481015203461492,1
300011,264598,79.48622283277356,1
300013,200272,51.87010904155787,1
300015,86830,29.33779328754856,1
